keyword,feature,base_logloss,drop_logloss,delta_logloss
open source,last4_any,0.5844098918436753,0.5833600571698286,-0.0010498346738466724
open source,last4_count,0.5844098918436753,0.5853878527870162,0.0009779609433409053
open source,weight4,0.5844098918436753,0.5848686420406134,0.0004587501969380847
open source,last8_any,0.5844098918436753,0.5832180078300286,-0.0011918840136466713
open source,last8_count,0.5844098918436753,0.582701496244685,-0.0017083955989902755
open source,weight8,0.5844098918436753,0.5842904863568869,-0.00011940548678845975
open source,last10_any,0.5844098918436753,0.5823342007673654,-0.0020756910763098935
open source,last10_count,0.5844098918436753,0.5842533065749458,-0.0001565852687295255
open source,weight10,0.5844098918436753,0.5844657169491123,5.582510543700181e-05
open source,firstpos,0.5844098918436753,0.6093718575981486,0.024961965754473292
open source,density,0.5844098918436753,0.6163996882859251,0.03198979644224975
open source,open_source_trend,0.5844098918436753,0.5979750670291711,0.013565175185495826
open source,eps_surprise_pct_target,0.5844098918436753,0.5843307396301761,-7.915221349918955e-05
open source,sin_season,0.5844098918436753,0.5823643873745415,-0.002045504469133763
open source,cos_season,0.5844098918436753,0.582575558780265,-0.0018343330634102983
europe,last4_any,0.7724312892134658,0.772104792368284,-0.00032649684518182287
europe,last4_count,0.7724312892134658,0.7855206380551566,0.013089348841690773
europe,weight4,0.7724312892134658,0.7850933786083436,0.012662089394877785
europe,last8_any,0.7724312892134658,0.772104792368284,-0.00032649684518182287
europe,last8_count,0.7724312892134658,0.7810598663548244,0.008628577141358562
europe,weight8,0.7724312892134658,0.7882710752333812,0.015839786019915425
europe,last10_any,0.7724312892134658,0.772104792368284,-0.00032649684518182287
europe,last10_count,0.7724312892134658,0.7789932134305273,0.006561924217061477
europe,weight10,0.7724312892134658,0.7877422089463746,0.015310919732908768
europe,firstpos,0.7724312892134658,0.7985641129325544,0.026132823719088538
europe,density,0.7724312892134658,0.7913014879650521,0.018870198751586242
europe,europe_trend,0.7724312892134658,0.5950953139222459,-0.17733597529121992
europe,eps_surprise_pct_target,0.7724312892134658,0.7715677150018299,-0.0008635742116359646
europe,sin_season,0.7724312892134658,0.7883542826997237,0.01592299348625792
europe,cos_season,0.7724312892134658,0.7705761929513454,-0.001855096262120437
competition,last4_any,0.46486651377670196,0.46629566343595397,0.0014291496592520048
competition,last4_count,0.46486651377670196,0.4636078437131258,-0.0012586700635761616
competition,weight4,0.46486651377670196,0.4641867423070269,-0.0006797714696750723
competition,last8_any,0.46486651377670196,0.46629566343595397,0.0014291496592520048
competition,last8_count,0.46486651377670196,0.4636078437131258,-0.0012586700635761616
competition,weight8,0.46486651377670196,0.4641454782977951,-0.0007210354789068396
competition,last10_any,0.46486651377670196,0.46629566343595397,0.0014291496592520048
competition,last10_count,0.46486651377670196,0.4636078437131258,-0.0012586700635761616
competition,weight10,0.46486651377670196,0.46409585027530675,-0.0007706635013952079
competition,firstpos,0.46486651377670196,0.48885417088751026,0.023987657110808303
competition,density,0.46486651377670196,0.4883939363957199,0.023527422619017913
competition,competition_trend,0.46486651377670196,0.46517219916618097,0.0003056853894790046
competition,eps_surprise_pct_target,0.46486651377670196,0.46715921976253455,0.0022927059858325882
competition,sin_season,0.46486651377670196,0.46448868555091544,-0.0003778282257865251
competition,cos_season,0.46486651377670196,0.4628618520362916,-0.002004661740410363
azure,last4_any,0.6861951610549112,0.686020776183998,-0.0001743848709131468
azure,last4_count,0.6861951610549112,0.6880907919677737,0.0018956309128624893
azure,weight4,0.6861951610549112,0.6884703492762498,0.002275188221338653
azure,last8_any,0.6861951610549112,0.686020776183998,-0.0001743848709131468
azure,last8_count,0.6861951610549112,0.6884225709319547,0.002227409877043507
azure,weight8,0.6861951610549112,0.6905193728133161,0.004324211758404917
azure,last10_any,0.6861951610549112,0.686020776183998,-0.0001743848709131468
azure,last10_count,0.6861951610549112,0.685737015068208,-0.00045814598670324
azure,weight10,0.6861951610549112,0.6891302671516226,0.0029351060967114373
azure,firstpos,0.6861951610549112,0.7119931480592592,0.02579798700434799
azure,density,0.6861951610549112,0.7146006313863882,0.028405470331477
azure,azure_trend,0.6861951610549112,0.6815359271847822,-0.004659233870129009
azure,eps_surprise_pct_target,0.6861951610549112,0.6842151702256829,-0.001979990829228284
azure,sin_season,0.6861951610549112,0.6838167801104549,-0.002378380944456304
azure,cos_season,0.6861951610549112,0.6835109018052619,-0.0026842592496493234
hiring,last4_any,0.28126179707110094,0.28126179707110094,0.0
hiring,last4_count,0.28126179707110094,0.28126179707110094,0.0
hiring,weight4,0.28126179707110094,0.28126179707110094,0.0
hiring,last8_any,0.28126179707110094,0.28126179707110094,0.0
hiring,last8_count,0.28126179707110094,0.28126179707110094,0.0
hiring,weight8,0.28126179707110094,0.28126179707110094,0.0
hiring,last10_any,0.28126179707110094,0.28126179707110094,0.0
hiring,last10_count,0.28126179707110094,0.28126179707110094,0.0
hiring,weight10,0.28126179707110094,0.28126179707110094,0.0
hiring,firstpos,0.28126179707110094,0.28126179707110094,0.0
hiring,density,0.28126179707110094,0.28126179707110094,0.0
hiring,hiring_trend,0.28126179707110094,0.28126179707110094,0.0
hiring,eps_surprise_pct_target,0.28126179707110094,0.28126179707110094,0.0
hiring,sin_season,0.28126179707110094,0.28126179707110094,0.0
hiring,cos_season,0.28126179707110094,0.28126179707110094,0.0
aws,last4_any,0.6342328640136917,0.634201619631158,-3.124438253376827e-05
aws,last4_count,0.6342328640136917,0.6333052227368173,-0.0009276412768743914
aws,weight4,0.6342328640136917,0.6326609693983714,-0.0015718946153203683
aws,last8_any,0.6342328640136917,0.634201619631158,-3.124438253376827e-05
aws,last8_count,0.6342328640136917,0.6344378319523948,0.00020496793870306007
aws,weight8,0.6342328640136917,0.6334079088210637,-0.0008249551926280407
aws,last10_any,0.6342328640136917,0.6342016196311581,-3.1244382533657244e-05
aws,last10_count,0.6342328640136917,0.6334077535505147,-0.0008251104631770145
aws,weight10,0.6342328640136917,0.6336282744286355,-0.0006045895850562699
aws,firstpos,0.6342328640136917,0.6552106628229045,0.0209777988092128
aws,density,0.6342328640136917,0.6447485840723087,0.010515720058617006
aws,aws_trend,0.6342328640136917,0.631762169840154,-0.0024706941735377352
aws,eps_surprise_pct_target,0.6342328640136917,0.6325753893142813,-0.001657474699410466
aws,sin_season,0.6342328640136917,0.6322742932898388,-0.0019585707238529704
aws,cos_season,0.6342328640136917,0.6321902885402841,-0.002042575473407582
repurchase,last4_any,0.5845677093845216,0.5954390732682449,0.010871363883723228
repurchase,last4_count,0.5845677093845216,0.5894795611294771,0.004911851744955453
repurchase,weight4,0.5845677093845216,0.5897928053632158,0.005225095978694139
repurchase,last8_any,0.5845677093845216,0.5954390732682449,0.010871363883723228
repurchase,last8_count,0.5845677093845216,0.5912449801702064,0.006677270785684808
repurchase,weight8,0.5845677093845216,0.590879935565974,0.0063122261814523295
repurchase,last10_any,0.5845677093845216,0.5954390732682449,0.010871363883723228
repurchase,last10_count,0.5845677093845216,0.5911165696174744,0.006548860232952758
repurchase,weight10,0.5845677093845216,0.59104408344585,0.006476374061328394
repurchase,firstpos,0.5845677093845216,0.6134478673508876,0.028880157966366005
repurchase,density,0.5845677093845216,0.6018254694413359,0.01725776005681423
repurchase,repurchase_trend,0.5845677093845216,0.5842670507691339,-0.00030065861538774996
repurchase,eps_surprise_pct_target,0.5845677093845216,0.5823254618609373,-0.002242247523584373
repurchase,sin_season,0.5845677093845216,0.5823274623818929,-0.0022402470026287036
repurchase,cos_season,0.5845677093845216,0.5828543626453414,-0.0017133467391802215
iceberg,last4_any,0.6423847808874306,0.6404145631659828,-0.0019702177214477867
iceberg,last4_count,0.6423847808874306,0.6466576127401749,0.0042728318527442966
iceberg,weight4,0.6423847808874306,0.6467007367545179,0.004315955867087329
iceberg,last8_any,0.6423847808874306,0.6404145631659828,-0.0019702177214477867
iceberg,last8_count,0.6423847808874306,0.6471072268002188,0.004722445912788253
iceberg,weight8,0.6423847808874306,0.6468479070173978,0.004463126129967243
iceberg,last10_any,0.6423847808874306,0.6404145631659828,-0.0019702177214477867
iceberg,last10_count,0.6423847808874306,0.6471730493646638,0.004788268477233237
iceberg,weight10,0.6423847808874306,0.6468887893481062,0.004504008460675668
iceberg,firstpos,0.6423847808874306,0.6774485061889728,0.035063725301542226
iceberg,density,0.6423847808874306,0.6532174209184274,0.01083264003099682
iceberg,iceberg_trend,0.6423847808874306,0.6484025772424,0.006017796354969462
iceberg,eps_surprise_pct_target,0.6423847808874306,0.6433416536519642,0.0009568727645336006
iceberg,sin_season,0.6423847808874306,0.6465424625245496,0.004157681637119048
iceberg,cos_season,0.6423847808874306,0.6428642146327729,0.000479433745342317
partnership,last4_any,0.6359170658275839,0.6353906793331894,-0.0005263864943945151
partnership,last4_count,0.6359170658275839,0.6364654708537816,0.0005484050261976847
partnership,weight4,0.6359170658275839,0.6364433572161255,0.0005262913885416554
partnership,last8_any,0.6359170658275839,0.6353906793331894,-0.0005263864943945151
partnership,last8_count,0.6359170658275839,0.6373591539141326,0.0014420880865486652
partnership,weight8,0.6359170658275839,0.6368393296079317,0.0009222637803477651
partnership,last10_any,0.6359170658275839,0.6353906793331894,-0.0005263864943945151
partnership,last10_count,0.6359170658275839,0.6375313059320457,0.0016142401044617616
partnership,weight10,0.6359170658275839,0.6369868715444575,0.0010698057168736508
partnership,firstpos,0.6359170658275839,0.661167870164254,0.025250804336670152
partnership,density,0.6359170658275839,0.6442978834617131,0.008380817634129234
partnership,partnership_trend,0.6359170658275839,0.6485975861689854,0.012680520341401547
partnership,eps_surprise_pct_target,0.6359170658275839,0.6343076513992085,-0.0016094144283753664
partnership,sin_season,0.6359170658275839,0.6342167909465423,-0.0017002748810416302
partnership,cos_season,0.6359170658275839,0.634061352423299,-0.00185571340428492
retention,last4_any,0.4710358302851658,0.4710297580263594,-6.072258806444353e-06
retention,last4_count,0.4710358302851658,0.4739048134481091,0.0028689831629432616
retention,weight4,0.4710358302851658,0.47077408683870153,-0.00026174344646429093
retention,last8_any,0.4710358302851658,0.471029758026359,-6.072258806832931e-06
retention,last8_count,0.4710358302851658,0.4743894451007693,0.0033536148156034784
retention,weight8,0.4710358302851658,0.47197585051194907,0.0009400202267832447
retention,last10_any,0.4710358302851658,0.4710297580263593,-6.072258806499864e-06
retention,last10_count,0.4710358302851658,0.4771106024057684,0.0060747721206025895
retention,weight10,0.4710358302851658,0.47365939203023416,0.002623561745068337
retention,firstpos,0.4710358302851658,0.4944958813477831,0.023460051062617282
retention,density,0.4710358302851658,0.47633707124838204,0.005301240963216214
retention,retention_trend,0.4710358302851658,0.47115290956499717,0.0001170792798313447
retention,eps_surprise_pct_target,0.4710358302851658,0.4726137960752283,0.0015779657900624744
retention,sin_season,0.4710358302851658,0.4714712938837575,0.00043546359859170103
retention,cos_season,0.4710358302851658,0.4689557083491216,-0.0020801219360442325
